leaf1	leaf2	leaf3
AT1G05500	24.5456	25.8649	25.1615
AT1G05510	0.0198067	0.0541294	0
AT1G05520	14.5426	16.5012	14.0192
AT1G05530	0.0658744	0.0600091	0.0779957
AT1G05540	4.85011	4.82469	5.52387
AT1G05550	0.231019	0.240515	0.245693
AT1G05560	2.91397	4.20862	4.26565
AT1G05562	22.3741	27.6272	26.4045
AT1G05570	6.36395	6.86773	4.79193
AT1G05575	23.7115	15.1733	14.1315
AT1G05577	0.0118093	0.0107578	0.0233038
AT1G05580	0	0	0
AT1G05590	10.9868	11.7599	10.566
AT1G05600	3.38656	4.87179	5.09563
AT1G05610	0.0851007	0.166122	0.251899
AT1G05615	0	0	0
AT1G05620	14.7319	14.5338	15.1999
AT1G05630	6.42851	7.18163	6.1702
AT1G05640	0.802188	1.0048	0.656582
AT1G05650	0	0	0
AT1G05660	0	0	0
AT1G05670	1.28499	1.64319	1.89987
AT1G05675	4.99468	3.22831	1.91257
AT1G05680	0.338283	0.478185	0.414341
AT1G05690	2.34668	2.74167	2.84493
AT1G05700	0.0714693	0.0591871	0
AT1G05710	2.87972	2.74303	3.10792
AT1G05720	21.8822	22.7018	22.0639
AT1G05730	2.96605	3.44426	3.39283
AT1G05740	0	0	0
AT1G05750	1.20445	1.40609	1.59285
AT1G05760	6.18147	5.76204	6.87919
AT1G05770	0.96518	0.853383	1.45648
AT1G05780	7.24613	8.13738	7.67344
AT1G05785	10.1999	10.663	11.1494
AT1G05790	8.26005	8.80012	8.70213
AT1G05800	0.0253017	0	0
AT1G05805	49.9526	48.2046	49.7452
AT1G05810	21.7401	18.5894	19.1912
AT1G05820	1.08294	1.12514	1.26185
AT1G05830	6.43183	7.66642	7.15523
AT1G05835	38.363	33.9629	37.3186
AT1G05840	19.2479	19.6547	18.7587
AT1G05850	618.66	585.653	586.587
AT1G05860	6.45864	7.07756	7.52554
AT1G05870	26.89	30.7929	32.0244
AT1G05880	0.0101985	0	0.0201334
AT1G05890	25.831	28.2493	27.9715
AT1G05894	0.154959	0.162879	0.199938
AT1G05900	10.2065	11.3979	10.7867
AT1G05910	5.66465	7.29892	5.87971
AT1G05920	0	0	0
AT1G05925	0	0	0
AT1G05930	0	0	0
AT1G05940	22.8246	22.2741	21.7438
AT1G05950	1.61202	2.10108	1.74551
AT1G05960	14.8154	16.378	15.0115
AT1G05970	10.3105	10.0278	12.1119
AT1G05980	0	0	0
AT1G05990	0	0	0
AT1G06000	5.54038	5.91518	5.69613
AT1G06002	15.6461	16.3597	16.7326
AT1G06010	18.7322	19.2959	19.7621
AT1G06020	0.31315	0.419512	0.181751
AT1G06030	0.0376127	0.0342638	0.0185557
AT1G06040	238.983	247.908	268.093
AT1G06050	5.0665	4.92308	5.34612
AT1G06060	22.3999	22.6779	22.2677
AT1G06070	9.42067	10.8863	10.1987
AT1G06080	44.919	38.8695	48.8954
AT1G06090	0.52999	0.543151	0.473901
AT1G06100	4.92839	6.46258	6.17105
AT1G06110	29.1413	27.0702	27.452
AT1G06120	0.0334509	0.0761814	0.0495076
AT1G06130	19.2142	20.3267	20.3101
AT1G06135	0.0453286	0.0412927	0.0447244
AT1G06137	0.556157	0	0
AT1G06140	0.38485	0.331633	0.472084
AT1G06148	0.127711	0.0332399	0.108017
AT1G06149	9.19697	10.1204	10.1231
AT1G06150	1.04873	1.47207	1.38047
AT1G06160	5.47817	7.18696	3.19301
AT1G06170	0.171181	0.145543	0.112596
AT1G06180	3.95359	4.2744	3.79373
AT1G06190	39.5862	51.0509	44.9892
AT1G06200	46.7536	45.435	45.1233
AT1G06210	14.0362	15.3896	16.3351
AT1G06220	18.9589	23.9317	20.6825
AT1G06225	0	0	0
AT1G06230	17.1403	19.6246	17.442
AT1G06240	11.2578	10.6568	10.2498
AT1G06250	0.512834	0.654041	0.784297
AT1G06260	0.906807	1.04084	1.10945
AT1G06265	1.11564	1.63194	1.33326
AT1G06270	1.51413	2.03714	2.18346
AT1G06280	0	0	0
AT1G06290	25.7789	28.2933	26.5133
AT1G06310	0.0082046	0.00747408	0.0161905
AT1G06320	0.0666964	0	0
AT1G06330	0	0	0
AT1G06340	0.321839	0.293183	0.173209
AT1G06350	4.90076	5.83922	4.16297
AT1G06360	58.8787	68.4173	64.3571
AT1G06370	2.49797	2.4506	2.6669
AT1G06380	6.07559	6.76871	6.27814
AT1G06390	36.9135	40.9081	38.7429
AT1G06400	52.632	53.7687	49.611
AT1G06410	44.826	49.2678	46.4098
AT1G06420	0.980859	1.52667	1.21867
AT1G06430	51.8954	53.801	56.8071
AT1G06440	0.688835	0.865194	1.02978
AT1G06450	2.81661	3.07661	2.85626
AT1G06460	181.499	168.785	177.465
AT1G06470	12.9091	15.7419	15.4469
AT1G06475	2.39791	2.06305	2.27832
AT1G06480	0	0	0
AT1G06490	0.496425	0.589335	0.497624
AT1G06500	15.5798	15.2649	17.633
AT1G06510	15.0424	17.9296	18.8093
AT1G06515	35.5917	34.2904	35.2578
AT1G06520	2.00906	3.09183	2.3956
AT1G06530	34.3882	44.1863	41.103
AT1G06540	0.0763924	0.278363	0.376871
AT1G06550	16.1609	17.6109	16.3686
AT1G06560	5.60192	5.79172	5.99131
AT1G06570	44.7218	44.0927	44.6633
AT1G06580	0.936175	1.10942	1.16075
AT1G06590	2.77412	2.90186	2.61746
AT1G06610	0	0	0
AT1G06620	3.99019	3.13399	3.07448
AT1G06630	11.2961	11.3295	11.6366
AT1G06640	54.6141	56.8254	61.9574
AT1G06645	8.43197	8.58564	9.09222
AT1G06650	42.0459	41.9618	42.4093
AT1G06660	1.33669	1.30198	1.37975
AT1G06670	6.20302	7.52209	6.00435
AT1G06680	5798.98	5363.8	5956.84
AT1G06690	39.8822	39.3726	36.3119
AT1G06700	53.8107	55.2463	55.1951
AT1G06710	0.918275	1.12691	1.14545
AT1G06720	4.25982	4.9374	4.16809
AT1G06730	7.28287	8.20011	8.11078
AT1G06740	1.59496	1.60064	1.65207
AT1G06750	0.00909371	0.0415206	0.0527315
AT1G06760	135.909	133.092	129.052
AT1G06770	2.85573	3.66802	3.63261
AT1G06780	4.26494	5.058	4.62259
AT1G06790	7.66207	7.88453	8.15845
AT1G06800	9.14629	7.39915	6.98466
AT1G06810	0	0	0
AT1G06820	19.1585	21.641	22.1351
AT1G06830	11.5609	12.1771	14.2076
AT1G06840	7.36458	7.54403	6.81911
AT1G06850	10.4287	11.0688	9.25795
AT1G06860	0	0	0
AT1G06870	9.68011	10.8604	10.3665
AT1G06880	0	0	0
AT1G06890	42.8787	43.2949	41.8922
AT1G06900	13.0808	15.2501	14.9283
AT1G06910	2.37318	2.61535	2.76417
AT1G06920	0	0	0
AT1G06923	0	0	0.0147856
AT1G06925	0	0.124838	0
AT1G06930	0.0183542	0.0334399	0.0543286
AT1G06950	46.2617	65.8883	52.2435
AT1G06960	14.9062	15.6471	14.8223
AT1G06970	0.026775	0.0243911	0.0198136
AT1G06980	9.78782	9.84861	10.5894
AT1G06990	0	0	0
AT1G07000	11.8281	9.25754	7.06367
